title,theme,question,answer
Страхование,ОСАГО,Возможно ли приобрести полис ОСАГО через финансовую платформу?,"С 19 октября 2020 года вступили в силу изменения в Закон об ОСАГО, предусматривающие возможность заключения физическими лицами договора ОСАГО в электронном виде с помощью финансовой платформы ‒ интернет-сервиса, обеспечивающего взаимодействие между потребителями и финансовыми организациями (в том числе страховщиками). Для страхователей услуги финансовых платформ бесплатны."
Страхование,ОСАГО,Будет ли отличаться стоимость полиса ОСАГО если приобрести его через финансовую платформу?,"Стоимость полиса ОСАГО не зависит от способа его оформления ‒ в виде бумажного документа или электронного, на сайте страховой компании или через финансовую платформу. В любом из этих случаев цена одинакова. Финансовая платформа даст вам возможность сравнить стоимость полиса в разных страховых компаниях и выбрать наиболее подходящий вариант."
Страхование,ОСАГО,"Обязан ли страховщик обеспечивать заключение договора ОСАГО в любом из своих офисов? Может ли быть так, что один из офисов страховщика в городе не уполномочен на заключение ОСАГО?","По Закону услуга по заключению договора ОСАГО должна предоставляться в любом обособленном подразделении страховщика, заключающем договоры страхования КАСКО и ОСАГО.Если офис страховщика не имеет статуса филиала или представительства, он может быть не уполномочен на заключение договора ОСАГО."
Страхование,ОСАГО,"Что делать, если страховая организация уклоняется либо отказывается заключать договор ОСАГО?","Страховая организация не имеет права отказывать в заключении договора ОСАГО владельцу транспортного средства, обратившемуся к нему с заявлением о заключении договора ОСАГО и представившему полный комплект документов, установленный Законом об ОСАГО. Если страховая организация отказывает либо уклоняется от заключения договора ОСАГО, вы можете обратиться в Банк России с приложением файлов (документов), содержащих доказательства отказа страховой организации в заключении договора ОСАГО. Отказ в заключении договора ОСАГО может быть зафиксирован не запрещенными законом способами (в том числе с помощью фото-, аудио- или видеоустройств, свидетелей), позволяющими сделать вывод о факте правонарушения (включая информацию о том, где, при каких обстоятельствах и с какой целью производилась запись; электронную дату фиксации нарушения). При отказах страховых организаций в заключении договора ОСАГО по причине отсутствия бланков полисов ОСАГО необходимо обратиться с жалобой в Российский союз автостраховщиков, который организует обеспечение своих членов бланками страховых полисов обязательного страхования и бланками, используемыми при осуществлении операций по страхованию в рамках международных систем страхования, и осуществляет контроль за использованием указанных бланков.
Кроме того, с 1 января 2017 установлена обязанность страховых организаций заключать договоры ОСАГО в виде электронного документа на всей территории Российской Федерации. Это значит, что вы можете оформить ОСАГО онлайн с использованием официального сайта страховщика в сети Интернет."
Страхование,ОСАГО,"Как оформить полис ОСАГО, если в городе (селе, деревне и т.д.) нет филиала (офиса) страховой организации?","Если в вашем населенном пункте нет филиалов (офисов) страховых компаний, проверьте в сети Интернет, есть ли в нем страховые агенты (физические лица, в том числе зарегистрированные в качестве индивидуальных предпринимателей, или юридические лица, действующие на основании гражданско-правового договора от имени и за счет страховщика в пределах предоставленных им полномочий).
С заявлением на заключение договора ОСАГО и комплектом необходимых документов вам необходимо обратиться к агенту, уполномоченному заключать такие договоры.
Также договор ОСАГО может быть составлен в виде электронного документа. В этом случае владелец транспортного средства направляет страховщику заявление о заключении договора ОСАГО в электронной форме, заполнив необходимую форму на официальном сайте страховщика (в «личном кабинете страхователя ОСАГО»)."
Страхование,ОСАГО,"Что делать, если при заключении договора ОСАГО страховая организация навязывает дополнительные виды страхования (жизни, от несчастного случая, имущества)?","Заключение договора ОСАГО не может быть обусловлено покупкой дополнительных страховых услуг. В случае если страховщик отказывается заключить договор без приобретения вами дополнительной услуги либо навязывает такие услуги при заключении договора, рекомендуем фиксировать эти факты не запрещенными законом способами (в том числе с помощью фото-, аудио- или видеоустройств, показания свидетелей), позволяющими сделать вывод о наличии правонарушения (включая информацию о том, где, когда, при каких обстоятельствах и с какой целью производилась запись; электронную дату фиксации нарушения) и направлять в Банк России через интернет-приемную регулятора либо в письменной форме по адресу: 107016, г. Москва, ул. Неглинная, д. 12.
Если вы уже приобрели ненужную страховку, от нее можно отказаться, воспользовавшись «периодом охлаждения» (14 календарных дней с момента заключения договора), и вернуть деньги.
Подробнее об отказе от страховки можно прочитать здесь."
Страхование,ОСАГО,Какие санкции грозят страховщикам за навязывание допуслуг при продаже полисов ОСАГО?,"Если страховщик навязывает дополнительные услуги при заключении договора ОСАГО, он подлежит привлечению к административной ответственности (ст. 15.34.1 Кодекса Российской Федерации об административных правонарушениях).
Для того, чтобы административные меры были приняты, вам необходимо направить обращение в Банк России через интернет-приемную либо на почтовый адрес: 107016, г. Москва, ул. Неглинная, д. 12, зафиксировав факт навязывания не запрещенными законом способами (в том числе с помощью фото-, аудио- или видеоустройств, показаний свидетелей), позволяющими сделать вывод о наличии правонарушения (включая информацию о том, где, когда, при каких обстоятельствах и с какой целью производилась запись; электронную дату фиксации нарушения).
Если вы уже приобрели ненужную страховку, от нее можно отказаться, воспользовавшись «периодом охлаждения» (14 календарных дней с момента заключения договора), и вернуть деньги.
Подробнее об отказе от страховки можно прочитать здесь."
Страхование,ОСАГО,Можно ли внести изменения в полис ОСАГО или отказаться от него и вернуть деньги через интернет? А если полис оформлен на бумаге?,"Да, страховая компания обязана предоставить такую возможность, независимо от того, в какой форме был заключен договор ОСАГО — в виде электронного документа или на бумаге. Приезжать в офис страховщика не обязательно.
Для этого в личном кабинете страховщика на его сайте или в мобильном приложении надо заполнить заявление о внесении изменений в договор ОСАГО или заявление о досрочном прекращении договора с указанием реквизитов вашего счета для возврата части страховой премии. Если полис был куплен через маркетплейс (финансовую платформу), заявление можно также подать через личный кабинет на этом маркетплейсе.
Если страховая компания не дает возможности дистанционно внести изменения в полис ОСАГО или отказаться от него и вернуть деньги, следует направить обращение в Банк России через интернет-приемную."
Страхование,ОСАГО,В каких случаях можно расторгнуть договор ОСАГО досрочно?,"Досрочно расторгнуть договор ОСАГО можно в любое время, пока он действует. Но страховая компания не во всех случаях вернет часть страховой премии за не истекший срок страхования. Так, часть премии должна быть возвращена страхователю, например, если договор ОСАГО досрочно прекращает действовать по причине замены собственника или гибели транспортного средства.
При досрочном расторжении договора ОСАГО страхователю возвращается только часть стоимости полиса. Возвращаемая сумма зависит от не использованного срока страхования (или не истекшего срока сезонного и иного временного использования транспортного средства, если автомобиль был застрахован на определенный период его использования) и рассчитывается исходя из доли страховой премии, остающейся после компенсации расходов страховщика (на них всегда приходится 23% от уплаченной за полис суммы).
Например, при стоимости полиса 6750 рублей и остающемся не использованным при расторжении договора сроке страхования 275 дней, возвращаемая сумма составит 6750*(100%-23%)*275/365=3915,92 рублей.
Для возврата части страховой премии к соответствующему заявлению надо приложить необходимые документы. Например, в случае гибели транспортного средства — это документы о снятии автомобиля с учета после его утилизации."
Страхование,ОСАГО,Что необходимо предпринять для расторжения договора ОСАГО?,"Для расторжения договора ОСАГО необходимо подать в страховую организацию заявление о расторжении договора, приложив к нему оригинал договора страхования (полис), либо направить заявление о расторжении в электронной форме через личный кабинет страхователя. В заявлении необходимо указать основания расторжения (отзыв лицензии страховщика; замена собственника транспортного средства; иные случаи, предусмотренные законом), приложив подтверждающие документы. Также необходимо указать ФИО, паспортные данные заявителя, банковские реквизиты для перечисления денежных средств, почтовый адрес, контактный телефон."
Страхование,ОСАГО,Какую часть страховой премии страховая компания возвращает в случае досрочного расторжения договора ОСАГО?,"В установленных законом случаях страховщик возвращает страхователю часть страховой премии в размере ее доли, предназначенной для страхового возмещения и приходящейся на неистекший срок действия договора ОСАГО или неистекший срок сезонного и иного временного использования транспортного средства.
Неиспользованная часть страховой премии рассчитывается за вычетом расходов страховой компании на осуществление ОСАГО и резервов компенсационных выплат (в сумме 23%). Таким образом, страхователь может рассчитывать на возврат 77% от неиспользованной части премии.
Средства возвращаются страхователю (его законным представителям, наследникам) в течение 14 календарных дней с даты, следующей за датой получения страховщиком заявления (пункт 1.16 Правил ОСАГО)."
Страхование,ОСАГО,Возможно ли расторжение договора ОСАГО без моего (страхователя) согласия?,"Страховщик вправе досрочно прекратить действие договора ОСАГО, если выявит, что вами при заключении договора были предоставлены ложные или неполные сведения, имевшие существенное значение для определения степени страхового риска, а также в иных случаях, предусмотренных законодательством. При этом часть страховой премии за неистекший срок действия договора не возвращается.
Также договор прекращается независимо от инициативы сторон в случаях ликвидации страховой организации либо страхователя ‒ юридического лица, гибели (утраты) транспортного средства, смерти страхователя или собственника по договору ОСАГО, а также в иных случаях, установленных законодательством. В этих случаях страхователь вправе претендовать на возврат части страховой премии.
Кроме того, в период действия договора ОСАГО страхователь обязан незамедлительно сообщать страховщику в письменной форме об изменении сведений, указанных в заявлении о заключении договора. Страховщик, уведомленный об обстоятельствах, влекущих увеличение страхового риска, вправе потребовать изменения условий договора или уплаты дополнительной страховой премии соразмерно увеличению риска. Если страхователь возражает против изменения условий договора или доплаты страховой премии, страховщик вправе потребовать расторжения договора по правилам главы 29 Гражданского кодекса Российской Федерации (ст. 959 ГК РФ)."
Страхование,ОСАГО,В каких случаях не возвращается страховая премия при досрочном расторжении договора ОСАГО?,"В случае досрочного прекращения действия договора ОСАГО по причине ликвидации юридического лица ‒ страхователя, при выявлении ложных или неполных сведений, представленных страхователем при заключении договора, имеющих существенное значение для определения степени страхового риска, а также в иных случаях, предусмотренных законодательством, часть страховой премии по договору страхователю не возвращается."
Страхование,ОСАГО,"В договоре страхования указано, что при расторжении предъявляется паспорт. Значит, надо лично идти?","Порядок досрочного расторжения договора добровольного страхования устанавливается условиями/правилами страхования, на основании которых он заключен. Если по условиям/правилам страхования необходимо личное присутствие страхователя для расторжения договора, то страховщик вправе этого требовать.
Для расторжения договора ОСАГО к заявлению с указанием оснований расторжения вы вправе приложить копию паспорта, оригинал договора ОСАГО, а также банковские реквизиты, и направить комплект почтой."
Страхование,ОСАГО,"При направлении заявления на расторжение договора ОСАГО какая дата учитывается как дата прекращения действия договора ОСАГО: дата направления заявления или дата, когда заявление поступило в СК?","Датой досрочного прекращения действия договора ОСАГО считается дата получения страховщиком письменного заявления страхователя и документов, подтверждающих факт, послуживший основанием для досрочного прекращения договора."
Страхование,ОСАГО,Можно ли уведомить страховщика о наступлении страхового случая по ОСАГО дистанционно?,"Да, при наступлении ДТП участники могут самостоятельно, без присутствия на месте ДТП сотрудников полиции составить электронное извещение (европротокол) посредством одного из мобильных приложений «Помощник ОСАГО» или «Госуслуги Авто». Оформить извещение о ДТП через мобильные приложения можно независимо от того, в какой форме был заключен договор ОСАГО — в виде электронного документа или на бумаге.
Кроме того, данный функционал реализован в мобильных приложениях некоторых страховых компаний.
При этом необходимо учитывать, что извещение о ДТП в электронном виде может быть подано только в случаях, если:
— отсутствуют пострадавшие, в том числе третьи лица и их имущество;
— в ДТП участвуют только два транспортных средства;
— оба водителя имеют полис ОСАГО и подтвержденную учетную запись на Едином портале государственных и муниципальных услуг;
— не повреждена дорожная инфраструктура (например, ограждения, столбы и т.п.);
— оба водителя согласны оформить европротокол."
Страхование,ОСАГО,"Необходимо ли дублировать направление извещения о ДТП в адрес страховых организаций в виде бумажного документа, если изначально при ДТП извещение было оформлено в электронном виде?","Нет, если извещение о ДТП было оформлено в виде электронного документа, то такое извещение, считается направленным страховщикам, застраховавшим гражданскую ответственность водителей причастных к ДТП, при условии отражения регистрационного номера в мобильных приложениях «Помощник ОСАГО» и «Госуслуги Авто».
Обращаем внимание на то, что для получения страхового возмещения оформления электронного извещения недостаточно. Для этого необходимо обратиться к страховщику с заявлением, в котором потребуется указать регистрационный номер извещения, если оно оформлялось в электронном виде."
Страхование,ОСАГО,"Какова страховая сумма, в пределах которой страховщик при наступлении каждого страхового случая обязуется возместить потерпевшим причиненный вред?","Страховая сумма, в пределах которой страховщик при наступлении каждого страхового случая (независимо от их числа в течение срока действия договора обязательного страхования) обязуется возместить потерпевшим причиненный вред, составляет:

в части возмещения вреда, причиненного жизни или здоровью каждого  потерпевшего, — не более 500 тыс. рублей (до 01.04.2015 — 160 тыс. рублей);
в части возмещения вреда, причиненного имуществу каждого потерпевшего, — 400  тыс. рублей (ст. 7 Закона от 25.04.2002 № 40-ФЗ)."
Страхование,ОСАГО,Какие документы необходимы для получения выплаты по ОСАГО?,"В случае ДТП потерпевшему необходимо представить страховщику заявление о страховом возмещении или прямом возмещении убытков, приложив документы, подтверждающие наступление страхового случая, а именно:

заверенную в установленном порядке копию документа, удостоверяющего личность потерпевшего (выгодоприобретателя);
документы, подтверждающие полномочия лица, являющегося представителем выгодоприобретателя;
согласие органов опеки и попечительства ‒ в случае если выплата страхового возмещения будет производиться представителю потерпевшего/ выгодоприобретателя, не достигшего возраста 18 лет;
извещение о ДТП в случае его оформления на бумажном носителе;
копии протокола об административном правонарушении, постановления по делу об административном правонарушении или определения об отказе в возбуждении такого дела, если документы о ДТП оформлялись при участии уполномоченных сотрудников полиции. Если между страховщиком и потерпевшим достигнута соответствующая договоренность, то потерпевший может не предоставлять данные документы, страховщик их получит самостоятельно.

Кроме того, потерпевший, в зависимости от вида причиненного вреда, представляет страховщику документы, подтверждающие его право на получение возмещения. Страховщик не вправе требовать документы, не установленные Правилами."
Страхование,ОСАГО,Возможно ли уведомить страховую компанию о наступлении страхового случая через страхового агента или брокера?,"Да, через сайт или мобильное приложение страхового посредника можно направить уведомление о наступлении страхового случая, заявление о страховой выплате, иные документы, заключить договор страхования, а также направить заявление о его изменении или досрочном прекращении, если это предусмотрено условиями страхования. Кроме того, все эти действия возможны при помощи финансовой платформы."
Страхование,ОСАГО,В течение какого срока страховщик должен рассмотреть заявление на выплату по ОСАГО?,"Страховщик должен рассмотреть заявление на выплату по ОСАГО и приложенные к нему по Правилам ОСАГО документы в течение 20 календарных дней (за исключением нерабочих праздничных дней) со дня их получения.В течение этого срока страховщик обязан выплатить страховое возмещение или выдать направление на ремонт транспортного средства либо направить мотивированный отказ в страховом возмещении.При наличии письменного согласия страховщика потерпевший вправе самостоятельно организовать восстановительный ремонт на станции технического обслуживания (СТО), с которой у страховщика на момент подачи потерпевшим заявления на выплату по ОСАГО нет договора на организацию такого ремонта. Потерпевший в заявлении на выплату указывает полное наименование выбранной СТО, ее адрес и платежные реквизиты, а страховщик выдает потерпевшему направление на ремонт, который оплачивает после его проведения. В этом случае заявление рассматривается в течение 30 календарных дней, за исключением нерабочих праздничных дней.При несоблюдении срока проведения страховой выплаты или возмещения причиненного вреда в натуре страховщик за каждый день просрочки уплачивает потерпевшему неустойку (пени) в размере 1% от определенного по Закону об ОСАГО размера страхового возмещения.При несоблюдении срока направления потерпевшему мотивированного отказа в страховой выплате, страховщик за каждый день просрочки уплачивает потерпевшему денежные средства в виде финансовой санкции в размере 0,05% от установленной Законом об ОСАГО страховой суммы по виду причиненного вреда.Неустойка или сумма финансовой санкции уплачиваются потерпевшему на основании поданного им заявления о такой выплате, в котором указываются форма расчета (наличный или безналичный) и банковские реквизиты. Страховщик не вправе требовать дополнительные документы для их уплаты.Дополнительно сообщаем, что если страховое возмещение, отказ в страховом возмещении или изменении его размера зависят от результатов производства по уголовному или гражданскому делу либо делу об административном правонарушении, срок проведения страхового возмещения или его части может быть продлен до окончания производства и вступления в силу решения суда."
Страхование,ОСАГО,Что делать в случае несогласия с размером страховой выплаты по ОСАГО?,"При наличии разногласий между страховщиком и потерпевшим относительно размера вреда, подлежащего возмещению по договору ОСАГО, страховщик в любом случае обязан провести страховую выплату в не оспариваемой им части.
Если вы не согласны с размером страхового возмещения, то можете провести повторную экспертизу и обратиться с ее результатами к страховщику в претензионном порядке.
Кроме того, возникший спор до подачи иска в суд может быть решен финансовым уполномоченным.
Финансовый уполномоченный рассматривает споры по страхованию (кроме ОМС), если размер требований не превышает 500 тысяч рублей либо если требования вытекают из нарушения страховщиком Закона об ОСАГО, и со дня, когда потребитель финансовых услуг узнал или должен был узнать о нарушении своих прав, прошло не более 3 лет.
Порядок обращения установлен Законом об уполномоченном по правам потребителей финансовых услуг.
В первую очередь необходимо направить заявление страховщику, который обязан рассмотреть и направить мотивированный ответ не позднее:

15 рабочих дней со дня получения заявления, если оно направлено в электронном виде по стандартной форме, утвержденной Советом Службы финансового уполномоченного и со дня нарушения прав заявителя прошло не более 180 дней;
30 календарных дней со дня получения заявления в иных случаях.

Если заявленные вопросы не будут решены или страховщик не направит ответ в установленные сроки, вы можете направить обращение финансовому уполномоченному на его сайте или в письменном виде по адресу: 119017, г. Москва, Старомонетный пер., д. 3 (телефон для справок: 8 (800) 200-00-10)."
Страхование,ОСАГО,"Что необходимо сделать, чтобы приостановить выплату по полису в случае несогласия с решением ГИБДД об установлении вины?","Для приостановления выплаты страховой организацией до вынесения окончательного решения Вам необходимо письменно уведомить страховую компанию о приостановке выплаты потерпевшему. Постановление о признании виновным должно быть обжаловано в десятидневный срок в вышестоящую инстанцию или суд . Сначала Вы подаете заявление вышестоящему должностному лицу в вышестоящую инстанцию, а далее обращаетесь в суд."
Страхование,ОСАГО,Произошло ДТП. Гражданская ответственность виновника застрахована в другой страховой компании. Куда я могу обратиться за выплатой: в свою компанию или в компанию виновника?,"По закону об ОСАГО обратиться к своему страховщику за возмещением вреда, причиненного имуществу, можно при наличии одновременно двух обстоятельств:
а) ДТП произошло в результате столкновения двух и более транспортных средств (включая транспортные средства с прицепами к ним), гражданская ответственность владельцев которых застрахована по Закону об ОСАГО; б) в результате этого ДТП вред причинен только транспортным средствам, указанным в пункте «а».
В иных случаях необходимо обращаться в страховую компанию виновника ДТП."
Страхование,ОСАГО,В каких случаях страховщик вправе отказать в выплате страхового возмещения по договору ОСАГО?,"Отказ в выплате страхового возмещения возможен в случаях, если:

заявленное событие не является страховым риском по ОСАГО (п. 2 ст. 6 Закона об ОСАГО);
налицо обстоятельства, исключающие ответственность страховщика (п. 1 ст. 964 ГК РФ; п. 4.28 Правил ОСАГО);
налицо обстоятельства, не позволяющие установить наступление страхового события (п. 20 ст. 12 Закона об ОСАГО) либо исключающие факт страхового случая (например, повреждения транспортного средства не соответствуют обстоятельствам ДТП).

Также страховщик может отказать в страховом возмещении, если:

поврежденное имущество не представлено для осмотра;
потерпевший не представил полный комплект необходимых документов, указанный в пунктах 3.10, 4.1, 4.2, 4.4–4.7, 4.13 Правил ОСАГО.

Если гражданская ответственность причинителя вреда на дату ДТП не застрахована, страховое возмещение не производится."
Страхование,ОСАГО,"Может ли страховая организация отказать в выплате, если ремонт поврежденного имущества или утилизация его остатков осуществлены до осмотра?","Да, может. Страховая организация отказывает потерпевшему в страховой выплате или ее части, если в результате ремонта поврежденного имущества (или утилизации его остатков), проведенного до его осмотра страховщиком и/или независимой технической экспертизы, независимой экспертизы невозможно достоверно установить наличие страхового случая и определить размер убытков, подлежащих возмещению по договору ОСАГО (п. 20 ст. 12 Закона об ОСАГО)."
Страхование,ОСАГО,"Что делать, если экспертиза не позволяет определить достоверно наличие страхового случая и определить размер убытков?","В случае если осмотр и/или независимая техническая экспертиза (НТЭ), независимая экспертиза поврежденного имущества (или его остатков) не позволяют достоверно установить наличие страхового случая и определить размер убытков, подлежащих возмещению по договору ОСАГО, страховщик вправе в течение 10 рабочих дней с момента представления потерпевшим заявления о страховой выплате осмотреть транспортное средство (ТС), при использовании которого потерпевшему был причинен вред, и/или за свой счет организовать НТЭ этого ТС, а его владелец обязан по требованию страховщика представить свое ТС. Результаты НТЭ оформляются в письменном виде и подписываются страховщиком (его представителем), проводившими НТЭ экспертом-техником и представителем независимой экспертной организации, а также владельцем ТС. Результаты осмотра подписывает страховщик (его представитель)."
